,Fecha,Tipo Generacion,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
45,2009,EOLICA,2,2,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,3,3,2,2,2,2,58
46,2009,HIDRAULICA,1307,1240,1202,1191,1247,1405,1469,1574,1721,1813,1895,1947,1889,1849,1847,1834,1811,1840,2192,2297,2175,1975,1685,1432,40837
47,2009,TERMICA,572,561,558,558,570,587,594,605,619,627,635,638,634,634,638,642,646,660,695,704,688,662,632,604,14964
48,2010,COGENERADOR,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,220
49,2010,EOLICA,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,2,2,2,2,1,1,39
50,2010,HIDRAULICA,1301,1232,1191,1181,1242,1398,1453,1559,1706,1799,1880,1935,1877,1841,1845,1833,1814,1835,2160,2262,2144,1952,1682,1435,40557
51,2010,TERMICA,634,624,620,618,624,632,632,640,653,659,665,671,670,670,672,676,679,693,730,738,725,704,684,660,15971
52,2011,COGENERADOR,13,13,13,14,13,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,317
53,2011,EOLICA,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,2,2,2,1,1,1,41
54,2011,HIDRAULICA,1610,1542,1501,1490,1555,1717,1775,1890,2044,2141,2228,2290,2236,2203,2205,2189,2161,2168,2464,2558,2443,2266,2002,1755,48432
55,2011,TERMICA,374,360,353,350,350,353,350,358,378,390,404,417,412,413,422,426,429,446,511,526,509,465,435,399,9831
56,2012,COGENERADOR,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,347
57,2012,EOLICA,2,2,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,3,3,2,2,2,2,55
58,2012,HIDRAULICA,1562,1490,1452,1444,1504,1653,1707,1829,1989,2088,2186,2262,2209,2177,2185,2168,2137,2149,2464,2559,2445,2243,1971,1709,47582
59,2012,TERMICA,461,444,433,428,429,439,445,461,480,494,505,513,513,516,520,524,524,531,562,572,559,541,522,491,11907
60,2013,COGENERADOR,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,352
61,2013,EOLICA,2,2,2,2,1,1,1,2,2,2,2,3,3,4,4,4,4,4,3,3,2,2,2,2,58
62,2013,HIDRAULICA,1457,1383,1341,1326,1375,1510,1559,1699,1865,1967,2063,2133,2082,2055,2060,2044,2011,2009,2286,2366,2262,2080,1834,1595,44363
63,2013,TERMICA,671,655,642,640,648,665,674,687,710,727,741,755,755,758,764,765,767,773,802,812,801,773,735,704,17424
64,2014,COGENERADOR,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,472
65,2014,EOLICA,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,5,4,4,3,3,3,3,3,70
66,2014,HIDRAULICA,1485,1412,1364,1347,1396,1528,1573,1707,1874,1983,2089,2155,2101,2078,2089,2072,2029,2014,2290,2375,2271,2076,1824,1608,44742
67,2014,TERMICA,744,724,715,711,719,737,745,767,791,804,813,820,823,826,827,828,829,834,848,852,845,836,818,787,19044
68,2015,COGENERADOR,22,22,22,22,22,23,22,22,22,22,21,21,21,21,21,21,22,22,22,22,22,22,22,22,526
69,2015,EOLICA,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,3,3,3,3,2,68
70,2015,HIDRAULICA,1485,1405,1352,1331,1379,1504,1544,1687,1863,1975,2084,2153,2102,2089,2103,2084,2037,2010,2283,2373,2277,2094,1845,1622,44682
71,2015,TERMICA,850,835,828,827,835,846,850,864,879,890,898,904,904,906,911,912,910,917,931,938,932,922,902,881,21272
72,2016,COGENERADOR,26,25,26,26,26,26,26,25,25,25,24,24,24,24,24,24,24,25,25,25,25,25,25,25,600
73,2016,EOLICA,2,2,1,1,1,1,1,1,2,2,2,2,3,3,3,4,3,3,3,2,2,2,2,2,51
74,2016,HIDRAULICA,1572,1495,1446,1427,1477,1602,1630,1772,1945,2058,2166,2236,2187,2176,2194,2180,2133,2105,2368,2449,2350,2176,1939,1715,46799
75,2016,TERMICA,753,738,730,726,728,733,736,750,763,769,776,782,781,784,788,790,788,789,801,809,813,803,789,775,18493
76,2017,COGENERADOR,27,27,27,27,27,27,27,27,27,26,25,25,26,26,26,26,26,26,26,26,27,27,27,27,634
77,2017,EOLICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
78,2017,HIDRAULICA,2017,1946,1899,1879,1934,2058,2088,2230,2396,2502,2603,2670,2628,2613,2621,2606,2565,2546,2800,2868,2771,2596,2354,2152,57343
79,2017,SOLAR,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5
80,2017,TERMICA,336,319,310,308,309,315,322,331,347,358,367,374,372,381,394,394,384,374,397,415,419,406,389,362,8682
81,2018,COGENERADOR,31,32,32,32,32,32,31,31,31,30,29,29,29,29,29,29,30,30,30,31,31,31,31,31,734
82,2018,EOLICA,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,43
83,2018,HIDRAULICA,1990,1922,1881,1865,1920,2032,2068,2213,2374,2472,2572,2637,2595,2578,2587,2571,2534,2512,2756,2824,2731,2565,2327,2126,56651
84,2018,SOLAR,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,9
85,2018,TERMICA,453,429,413,406,407,422,423,435,456,474,489,504,503,516,530,528,513,499,517,532,537,527,513,484,11510
86,2019,COGENERADOR,31,31,31,31,31,32,31,31,30,30,30,29,30,30,30,30,30,30,30,30,31,31,31,31,732
87,2019,EOLICA,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,3,3,3,2,2,2,63
88,2019,HIDRAULICA,1909,1846,1805,1788,1836,1941,1968,2114,2275,2375,2477,2549,2506,2496,2510,2494,2451,2416,2640,2706,2622,2454,2224,2033,54437
89,2019,SOLAR,0,0,0,0,0,0,2,6,10,13,14,15,15,14,12,9,5,1,0,0,0,0,0,0,115
90,2019,TERMICA,593,564,545,538,541,550,555,569,587,604,618,631,635,644,656,657,649,644,669,683,683,673,655,626,14767
91,2020,COGENERADOR,33,33,33,34,34,34,33,33,32,32,31,31,32,32,32,32,32,32,32,33,33,33,33,33,783
92,2020,EOLICA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,10
93,2020,HIDRAULICA,1769,1700,1659,1639,1666,1714,1747,1904,2057,2155,2255,2337,2339,2329,2320,2294,2236,2195,2409,2477,2402,2269,2076,1889,49837
94,2020,SOLAR,0,0,0,0,0,0,2,10,17,21,24,24,24,23,20,16,9,1,0,0,0,0,0,0,191
95,2020,TERMICA,766,738,715,701,695,695,696,711,731,746,758,773,781,788,796,799,799,802,832,850,852,845,830,802,18503
96,2021,COGENERADOR,34,34,34,34,34,34,33,33,33,32,32,31,32,32,32,32,32,33,33,33,33,33,33,33,786
97,2021,EOLICA,2,2,2,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,3,3,2,2,2,2,60
98,2021,HIDRAULICA,2166,2096,2051,2032,2064,2128,2190,2366,2531,2631,2730,2813,2809,2791,2786,2768,2722,2681,2883,2931,2840,2700,2490,2298,60496
99,2021,SOLAR,0,0,0,0,0,0,5,17,28,35,39,41,40,38,34,27,15,3,0,0,0,0,0,0,323
100,2021,TERMICA,532,501,478,465,457,451,445,450,461,473,486,498,505,516,528,531,527,527,554,577,586,578,579,562,12268
101,2022,COGENERADOR,33,33,33,33,33,33,32,32,32,31,30,30,30,31,30,31,31,32,32,32,32,33,32,32,764
102,2022,EOLICA,3,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,5,4,4,4,3,3,3,3,74
103,2022,HIDRAULICA,2336,2261,2211,2190,2236,2341,2386,2530,2680,2773,2872,2948,2923,2916,2930,2922,2892,2864,3053,3097,3008,2859,2648,2462,64337
104,2022,SOLAR,0,0,0,0,0,0,7,27,43,54,60,63,62,59,54,43,25,4,0,0,0,0,0,0,503
105,2022,TERMICA,472,450,433,422,415,411,406,412,423,436,450,464,473,482,495,499,494,490,507,525,531,523,518,500,11230
